City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Murgab,TM,37.4966,61.9714,94.87,17,0,6.91,clear sky
80,Naryan-Mar,RU,67.6713,53.087,44.15,79,98,13.78,overcast clouds
81,Baherden,TM,38.4362,57.4316,90.36,11,0,3.02,clear sky
82,Geraldton,AU,-28.7667,114.6,61.21,94,75,12.66,broken clouds
83,Roxana,CR,10.2753,-83.7513,88.03,63,42,2.89,scattered clouds
84,Punta Arenas,CL,-53.15,-70.9167,37.51,75,0,11.5,clear sky
85,Saint-Pierre,RE,-21.3393,55.4781,71.91,77,20,24.16,few clouds
86,Saskylakh,RU,71.9167,114.0833,39.02,70,0,8.48,clear sky
87,Ribeira Grande,PT,38.5167,-28.7,77.4,65,20,11.5,few clouds
88,Kitgum,UG,3.2783,32.8867,73.85,84,19,3.24,light rain
89,Mfou,CM,3.7159,11.6427,74.89,84,91,3.71,light rain
90,Norman Wells,CA,65.282,-126.8329,44.64,93,75,0.0,broken clouds
91,Yeppoon,AU,-23.1333,150.7333,58.78,83,16,12.35,few clouds
92,Ancud,CL,-41.8697,-73.8203,56.23,74,91,0.87,overcast clouds
93,Hamilton,US,39.1834,-84.5333,73.76,96,100,1.01,mist
94,Narsaq,GL,60.9167,-46.05,52.02,79,16,4.5,few clouds
95,Saint-Philippe,RE,-21.3585,55.7679,71.22,84,40,14.18,light rain
96,Brits,ZA,-25.6347,27.7802,85.73,9,36,6.89,scattered clouds
97,Freeport,US,40.6576,-73.5832,81.48,72,20,11.5,few clouds
98,Littleton,US,39.6133,-105.0166,80.89,50,0,0.0,clear sky
99,Lebu,CL,-37.6167,-73.65,53.85,72,6,13.87,clear sky
100,Banda Aceh,ID,5.5577,95.3222,79.14,76,93,12.71,overcast clouds
101,Ponta Do Sol,PT,32.6667,-17.1,79.72,74,53,5.73,broken clouds
102,Zhangye,CN,38.9342,100.4517,66.94,20,20,7.14,few clouds
103,Guerrero Negro,MX,27.9769,-114.0611,80.37,75,100,1.61,overcast clouds
104,Pevek,RU,69.7008,170.3133,33.39,99,100,2.84,overcast clouds
105,La Trinidad,PH,16.455,120.5875,64.35,91,100,1.05,overcast clouds
106,Ukiah,US,39.1502,-123.2078,66.65,76,0,0.0,clear sky
107,Iqaluit,CA,63.7506,-68.5145,42.53,81,100,27.63,overcast clouds
